Date,Max Temp (°C),Min Temp (°C),Rainfall (mm),Max Wind (km/h),City
2021-05-05,12.2,3.3,3.0,24.3,London
2021-05-06,11.4,1.0,2.6,18.4,London
2021-05-07,12.6,3.5,0.1,18.9,London
2021-05-08,16.3,4.1,9.4,40.5,London
2021-05-09,19.3,12.5,2.0,27.9,London
2021-05-10,15.1,9.1,1.9,33.4,London
2021-05-11,15.7,5.9,0.6,26.0,London
2021-05-12,15.1,8.1,1.1,20.8,London
2021-05-13,12.9,8.4,5.3,18.3,London
2021-05-14,12.8,7.9,0.5,17.8,London
2021-05-15,12.9,8.0,3.4,16.9,London
2021-05-16,13.6,7.2,7.8,21.7,London
2021-05-17,16.4,8.0,3.7,18.5,London
2021-05-18,15.3,6.8,3.3,28.1,London
2021-05-19,15.9,8.4,5.7,23.1,London
2021-05-20,13.0,5.5,0.6,39.0,London
2021-05-21,13.2,9.7,4.0,47.9,London
2021-05-22,13.9,8.1,4.8,25.8,London
2021-05-23,12.6,4.9,6.8,34.2,London
2021-05-24,12.4,7.8,10.4,31.8,London
2021-05-25,14.5,6.8,0.8,27.8,London
2021-05-26,15.4,5.8,0.6,18.8,London
2021-05-27,18.5,6.2,0.0,13.0,London
2021-05-28,18.5,9.4,0.5,9.8,London
2021-05-29,19.6,9.4,0.0,17.3,London
2021-05-30,19.2,7.7,0.0,19.5,London
2021-05-31,22.2,8.1,0.0,18.1,London
2021-06-01,24.0,10.6,0.0,23.8,London
2021-06-02,25.8,11.5,0.1,19.3,London
2021-06-03,23.5,15.1,2.0,18.3,London
2021-06-04,17.6,11.9,6.7,14.4,London
2021-06-05,21.1,12.4,0.0,12.4,London
2021-06-06,20.5,11.4,1.1,10.1,London
2021-06-07,21.5,11.5,0.2,14.5,London
2021-06-08,23.0,11.2,0.0,14.0,London
2021-06-09,24.0,10.2,0.0,16.5,London
2021-06-10,22.7,14.2,0.4,18.8,London
2021-06-11,24.0,14.9,0.0,22.9,London
2021-06-12,22.1,13.8,0.0,13.8,London
2021-06-13,26.2,12.1,0.0,14.1,London
2021-06-14,27.3,13.7,0.2,14.8,London
2021-06-15,24.1,14.6,0.2,17.9,London
2021-06-16,27.0,12.6,0.8,16.5,London
2021-06-17,22.0,17.1,11.2,13.2,London
2021-06-18,17.4,12.4,29.1,26.4,London
2021-06-19,16.9,10.9,3.0,18.5,London
2021-06-20,18.0,12.4,5.5,18.6,London
2021-06-21,13.9,11.2,11.4,25.0,London
2021-06-22,15.6,10.2,0.6,27.0,London
2021-06-23,19.5,6.2,0.0,11.4,London
2021-06-24,19.9,7.7,0.4,15.2,London
2021-06-25,19.6,13.4,2.2,15.2,London
2021-06-26,21.0,11.2,0.1,13.6,London
2021-06-27,19.9,13.2,14.4,24.4,London
2021-06-28,19.9,14.7,7.8,17.8,London
2021-06-29,18.0,14.1,1.2,19.8,London
2021-06-30,16.4,11.8,0.4,14.5,London
2021-07-01,19.9,11.4,0.1,12.7,London
2021-07-02,22.6,13.5,0.9,14.5,London
2021-07-03,20.8,15.4,2.6,22.2,London
2021-07-04,20.2,14.6,5.0,27.8,London
2021-07-05,19.0,13.7,4.0,22.0,London
2021-07-06,18.1,13.1,8.5,36.6,London
2021-07-07,19.8,12.9,2.4,27.6,London
2021-07-08,20.3,13.2,2.0,14.1,London
2021-07-09,22.1,13.1,0.6,14.3,London
2021-07-10,17.9,13.4,1.5,10.3,London
2021-07-11,20.0,10.6,1.7,15.4,London
2021-07-12,20.5,14.0,16.0,13.2,London
2021-07-13,21.9,14.9,1.6,18.4,London
2021-07-14,23.0,13.9,0.3,21.1,London
2021-07-15,22.0,13.6,0.0,19.7,London
2021-07-16,24.3,10.3,0.0,17.0,London
2021-07-17,25.8,13.2,0.0,13.2,London
2021-07-18,29.1,13.8,0.0,9.3,London
2021-07-19,28.0,17.2,0.3,10.8,London
2021-07-20,28.8,16.4,0.0,17.3,London
2021-07-21,27.9,17.1,0.6,11.6,London
2021-07-22,26.2,15.8,0.0,14.1,London
2021-07-23,22.9,14.3,0.0,25.3,London
2021-07-24,21.9,15.5,14.3,24.6,London
2021-07-25,21.2,15.9,4.5,14.7,London
2021-07-26,23.5,15.8,2.2,15.3,London
2021-07-27,20.0,15.1,3.4,20.7,London
2021-07-28,19.5,14.4,6.1,31.0,London
2021-07-29,21.1,12.8,0.2,27.8,London
2021-07-30,19.5,14.6,2.6,39.2,London
2021-07-31,19.5,13.5,5.7,17.2,London
2021-08-01,19.9,13.5,4.2,15.2,London
2021-08-02,18.5,12.0,0.4,12.3,London
2021-08-03,20.4,10.6,0.8,11.0,London
2021-08-04,20.3,10.6,0.7,9.7,London
2021-08-05,19.9,13.2,2.1,26.0,London
2021-08-06,20.8,14.2,8.1,28.8,London
2021-08-07,19.4,13.6,3.7,26.8,London
2021-08-08,19.6,13.4,4.6,30.6,London
2021-08-09,20.0,13.1,10.1,24.4,London
2021-08-10,21.6,12.5,0.1,15.0,London
2021-08-11,22.5,12.3,0.0,19.0,London
2021-08-12,21.5,14.4,0.4,23.0,London
2021-08-13,21.6,13.1,0.3,24.0,London
2021-08-14,23.0,13.8,0.0,19.4,London
2021-08-15,22.1,14.6,1.2,24.5,London
2021-08-16,17.5,12.4,0.3,23.5,London
2021-08-17,18.8,10.7,0.6,21.9,London
2021-08-18,21.4,15.4,0.7,22.8,London
2021-08-19,20.2,13.9,0.5,17.4,London
2021-08-20,20.6,14.8,0.4,13.0,London
2021-08-21,20.2,13.9,5.5,12.5,London
2021-08-22,20.8,15.3,9.6,19.9,London
2021-08-23,20.4,13.4,0.1,16.9,London
2021-08-24,21.3,12.1,0.2,22.5,London
2021-08-25,21.1,13.2,0.0,18.3,London
2021-08-26,18.2,14.6,0.0,22.4,London
2021-08-27,18.0,11.9,0.0,16.4,London
2021-08-28,20.0,10.9,0.3,23.6,London
2021-08-29,18.3,9.6,0.0,20.2,London
2021-08-30,18.6,13.2,0.4,24.4,London
2021-08-31,19.5,13.9,0.2,23.9,London
2021-09-01,18.5,13.3,0.1,19.5,London
2021-09-02,18.4,14.1,0.0,21.3,London
2021-09-03,20.8,12.6,0.2,16.3,London
2021-09-04,19.1,12.6,0.4,17.9,London
2021-09-05,24.0,13.1,0.0,12.2,London
2021-09-06,26.4,12.8,0.0,10.5,London
2021-09-07,27.6,15.6,0.0,13.8,London
2021-09-08,27.8,15.6,0.0,18.2,London
2021-09-09,21.9,15.8,3.5,21.9,London
2021-09-10,20.8,16.0,3.4,18.1,London
2021-09-11,21.1,13.9,0.1,19.8,London
2021-09-12,20.0,12.4,0.2,13.0,London
2021-09-13,19.8,13.1,0.0,18.0,London
2021-09-14,18.7,14.6,14.7,14.8,London
2021-09-15,19.6,13.2,0.1,14.9,London
2021-09-16,21.4,10.2,0.0,12.2,London
2021-09-17,21.1,12.1,0.2,18.8,London
2021-09-18,22.4,12.1,0.6,13.8,London
2021-09-19,18.5,13.9,3.3,11.2,London
2021-09-20,19.0,12.0,0.1,19.1,London
2021-09-21,20.0,10.2,0.0,8.3,London
2021-09-22,20.5,9.2,0.0,17.8,London
2021-09-23,20.6,11.6,0.2,23.1,London
2021-09-24,22.6,12.5,0.0,16.4,London
2021-09-25,19.8,12.6,0.1,9.4,London
2021-09-26,21.2,12.9,0.4,20.8,London
2021-09-27,17.2,12.2,4.2,39.9,London
2021-09-28,16.7,10.5,12.0,26.9,London
2021-09-29,14.8,8.2,0.2,28.0,London
2021-09-30,16.2,6.7,2.9,36.0,London
2021-10-01,16.6,8.8,7.6,30.9,London
2021-10-02,16.9,7.2,21.9,37.1,London
2021-10-03,15.4,10.4,0.7,31.0,London
2021-10-04,15.7,10.6,1.1,25.0,London
2021-10-05,14.5,10.9,17.3,33.0,London
2021-10-06,16.2,9.8,0.0,27.0,London
2021-10-07,18.8,11.1,0.1,14.0,London
2021-10-08,18.7,12.8,0.1,11.2,London
2021-10-09,17.7,7.7,0.0,10.2,London
2021-10-10,17.9,8.2,0.2,15.2,London
2021-10-11,15.9,8.1,0.0,18.9,London
2021-10-12,15.4,7.2,0.3,18.2,London
2021-10-13,15.3,6.8,0.0,10.8,London
2021-10-14,16.9,8.9,0.2,21.1,London
2021-10-15,13.9,9.6,0.0,16.3,London
2021-10-16,15.2,8.1,1.3,13.3,London
2021-10-17,15.9,8.5,1.2,16.9,London
2021-10-18,16.2,7.8,4.8,21.9,London
2021-10-19,20.5,16.3,1.8,36.4,London
2021-10-20,17.5,12.0,34.0,33.9,London
2021-10-21,11.8,4.9,6.3,29.8,London
2021-10-22,12.8,4.9,0.0,24.8,London
2021-10-23,13.8,3.5,0.0,19.0,London
2021-10-24,14.8,8.0,0.0,22.8,London
2021-10-25,15.1,8.5,4.6,20.7,London
2021-10-26,16.5,7.4,0.0,27.7,London
2021-10-27,16.8,12.9,0.0,31.9,London
2021-10-28,16.4,12.1,0.0,26.3,London
2021-10-29,14.8,9.4,4.6,35.9,London
2021-10-30,14.3,8.6,4.4,21.2,London
2021-10-31,14.0,8.4,10.1,46.4,London
2021-11-01,13.0,5.5,0.7,27.3,London
2021-11-02,11.1,2.2,0.0,8.9,London
